objectid,state,county,title,latitude,longitude,status,display_template,object_location,notes
rockhill,Mississippi,Oktibbeha,Rockhill ,33.54277778,-88.78194444,Removed,record,,
rosebloom,Mississippi,Tallahatchie,Rosebloom ,33.87777778,-89.93805556,Removed,record,,
ruth,Mississippi,Lincoln,Ruth ,31.39194444,-90.29166667,Removed,record,,
saint-ann,Mississippi,Leake,Saint Ann ,32.78916667,-89.66138889,Removed,record,,
salem,Mississippi,Walthall,Salem ,31.26888889,-90.16055556,Removed,record,,
sallis,Mississippi,Attala,Sallis ,32.97166667,-89.82805556,Removed,record,,
sanford,Mississippi,Covington,Sanford ,31.50361111,-89.48888889,Removed,record,,
saratoga,Mississippi,Simpson,Saratoga,31.80222222,-89.7175,Removed,record,,
scales,Mississippi,Marshall,Scales ,34.78305556,-89.31444444,Removed,record,,
sellers,Mississippi,Hancock,Sellers,30.60416667,-89.37777778,Removed,record,,
shiloh1,Mississippi,Marshall,Shiloh ,34.63722222,-89.57,Removed,record,,
shipman,Mississippi,George,Shipman ,30.87361111,-88.51444444,Removed,record,,
shivers,Mississippi,Simpson,Shivers ,31.81722222,-90.01861111,Removed,record,,
smith1,Mississippi,Harrison,Smith,30.4275,-89.26833333,Removed,record,,
snell,Mississippi,Clarke,Snell ,32.14777778,-88.48333333,Removed,record,,
spring,Mississippi,Rankin,Spring ,32.46583333,-89.90333333,Removed,record,,
spring-hill,Mississippi,Pearl River,Spring Hill,30.93666667,-89.5525,Removed,record,,
state-line,Mississippi,Greene,State Line ,31.41555556,-88.48111111,Removed,record,,
steele,Mississippi,Scott,Steele,32.50444444,-89.41055556,Removed,record,,
stephenson1,Mississippi,Amite,Stephenson ,31.27055556,-90.99277778,Removed,record,,
stony,Mississippi,Greene,Stony ,31.39055556,-88.66666667,Removed,record,,
sylvarena,Mississippi,Smith,Sylvarena ,32.06916667,-89.41,Removed,record,,
tamola,Mississippi,Lauderdale,Tamola ,32.51388889,-88.45888889,Removed,record,,
taylorsville,Mississippi,Smith,Taylorsville ,31.91083333,-89.35888889,Removed,record,,
tiger-creek,Mississippi,Jones,Tiger Creek ,31.45222222,-88.96888889,Removed,record,,
tillman,Mississippi,Lauderdale,Tillman,32.28722222,-88.82416667,Removed,record,,
tombigbee,Mississippi,Winston,Tombigbee ,33.26833333,-89.08972222,Removed,record,,
troy,Mississippi,Pontotoc,Troy ,34.13083333,-88.95666667,Removed,record,,
unknown,Mississippi,Harrison,Unknown,30.51444444,-89.27777778,Removed,record,,
unknown2,Mississippi,Pearl River,Unknown,30.84777778,-89.40416667,Removed,record,,
verona,Mississippi,Lee,Verona ,34.21805556,-88.73138889,Removed,record,,
wayne,Mississippi,Wayne,Wayne ,31.63222222,-88.66277778,Removed,record,,
weir,Mississippi,Choctaw,Weir ,33.30361111,-89.33638889,Removed,record,,
westonia,Mississippi,Hancock,Westonia ,30.30111111,-89.58055556,Removed,record,,
whistler,Mississippi,Wayne,Whistler ,31.73666667,-88.83694444,Removed,record,,
wilbe,Mississippi,Stone,Wilbe ,30.86305556,-88.99472222,Removed,record,,
woodville,Mississippi,Wilkinson,Woodville ,31.09222222,-91.2325,Removed,record,,
yocona,Mississippi,Pontotoc,Yocona,34.25027778,-89.18083333,Removed,record,,
county-line,Mississippi,Neshoba,County Line,32.58805556,-89.07638889,Removed,record,,
green,Mississippi,Greene,Green ,31.21777778,-88.7025,Removed,record,,
greens-creek,Mississippi,Jefferson Davis,Greens Creek ,31.495,-89.85055556,Removed,record,,
moscow,Mississippi,Kemper,Moscow,32.68972222,-88.83694444,Removed,record,,
unknown3,Mississippi,Perry,Unknown,31.115,-89.07555556,Removed,record,,
unknown4,Mississippi,Perry,Unknown,31.12194444,-89.07583333,Removed,record,,
